datetime,grid,predicted_occupancy,predicted_utilization,recommended_tariff_inr_kwh,expected_utilization_after_pricing,baseline_queue_proxy,dynamic_queue_proxy
2022-07-16 20:25:00,795,60.699379810545636,0.589314367092676,16.200000000000003,0.5775280797508225,0.0,0.0
2022-07-17 01:30:00,225,5.050834140374843,0.2525417070187422,14.905083414037485,0.2529412136294649,0.0,0.0
2022-07-14 03:05:00,1172,7.250987492572211,0.15427632962919596,14.708552659258393,0.15502572006269272,0.0,0.0
2022-07-14 01:10:00,1101,3.1923467680915776,0.15961733840457887,14.719234676809158,0.1603642552979793,0.0,0.0
2022-07-14 19:00:00,1166,30.34284072223044,0.3992479042398742,16.200000000000003,0.39126294615507673,0.0,0.0
2022-07-15 02:10:00,1100,11.587832446860961,0.16793960067914437,14.735879201358289,0.1686788730367268,0.0,0.0
2022-07-16 14:30:00,729,6.702568521225595,0.17186073131347682,14.743721462626954,0.17259480159435814,0.0,0.0
2022-07-17 10:00:00,206,19.40574525694958,0.16874561092999635,14.737491221859992,0.1694838976656917,0.0,0.0
2022-07-17 11:20:00,1037,3.476046720894657,0.2896705600745548,14.97934112014911,0.2897702978961701,0.0,0.0
2022-07-17 10:10:00,347,2.434847248558968,0.08396024995030925,14.56792049990062,0.08456487499742173,0.0,0.0
2022-07-15 13:50:00,1159,25.91064275398562,0.2272863399472423,14.854572679894483,0.22783723400249425,0.0,0.0
2022-07-15 04:45:00,1082,8.258604586744042,0.39326688508304963,16.200000000000003,0.3854015473813886,0.0,0.0
2022-07-17 00:15:00,1082,5.21533092622195,0.24834909172485475,14.89669818344971,0.2487766735967513,0.0,0.0
2022-07-17 13:10:00,711,3.4915138046328176,0.10269158248920052,14.6053831649784,0.10336697961028798,0.0,0.0
2022-07-13 17:45:00,522,38.49646530424075,0.34996786640218863,16.200000000000003,0.34296850907414483,0.0,0.0
2022-07-14 02:20:00,795,63.16157764566987,0.6132192004433968,16.200000000000003,0.6009548164345289,0.0,0.0
2022-07-14 08:25:00,967,5.538593042664219,0.23077471011100914,14.861549420222019,0.23130722498455855,0.0,0.0
